,GPA,Cultural Fit,Education,Educational Prestige,Technical Aptitude,Soft Skills,Employee Referral,Leadership Capability,HireVue Score,Criminal Record,Arrest Record,Prediction
7777,2.616099613365774,0.0,1.0,0.0,1.9319575148911563,1.624321384459125,0.0,-0.4546513458622202,0.0,1.0,0.0,-2.0
4998,2.7887987245267896,2.0,1.0,2.0,1.5292536294509391,3.4155614683815547,0.0,0.2096248947342416,1.0,0.0,0.0,2.0
4165,3.2995014335801667,2.0,1.0,3.0,1.8307722656098984,3.4921187626467995,0.0,-0.6910614218949239,1.0,0.0,0.0,-1.0
9645,3.174944947393265,0.0,2.0,0.0,0.4770525586532293,2.366725606411068,0.0,-0.04930750727505311,0.0,0.0,0.0,-2.0
1707,2.5415126183320504,2.0,1.0,1.0,3.2095298010479336,2.3714163338293948,0.0,-1.1797644259951814,0.0,1.0,0.0,-2.0
9391,2.827278859652956,0.0,1.0,0.0,0.6536818733874732,2.301225745965921,0.0,-0.8001383673902674,0.0,0.0,0.0,-2.0
293,2.9718299583544527,0.0,1.0,1.0,2.2489245885273728,3.261445477698759,0.0,0.8320705224541289,2.0,0.0,1.0,2.0
505,3.2442350715641903,0.0,1.0,1.0,1.7495148668877858,3.24649766995636,0.0,0.7061487696469992,2.0,0.0,0.0,2.0
7912,3.3206021161256927,0.0,2.0,0.0,1.5935695865166681,3.635247388910916,0.0,0.5466923813329798,2.0,0.0,0.0,2.0
9302,2.453294752092793,0.0,1.0,0.0,2.7365090738730466,2.572680966183184,0.0,0.2386257377378379,0.0,0.0,0.0,-0.0
7160,2.8743370937066515,1.0,0.0,0.0,2.761988642851036,2.9100282622787015,0.0,-0.3193505330763992,0.0,1.0,1.0,-2.0
1069,4.512023464682988,2.0,1.0,1.0,2.5266384659626344,5.070572706251202,0.0,0.5092245623715745,1.0,0.0,0.0,2.0
2760,1.7479381829805458,0.0,1.0,1.0,1.4158666816222247,2.602565220602832,0.0,-0.08953863774101724,0.0,1.0,0.0,-2.0
9901,3.13948598599357,0.0,1.0,0.0,2.359042606079044,3.1555799284323807,0.0,0.04716143618877911,0.0,0.0,1.0,-0.0
7830,2.7047304289937952,0.0,1.0,0.0,0.6313158728028769,1.7602402347167774,0.0,-0.7900411782310632,0.0,1.0,0.0,-2.0
8151,2.4444128074551346,0.0,1.0,0.0,1.530230256661537,2.592838771702496,0.0,0.2158465151493488,0.0,0.0,0.0,-1.0
7166,3.2040411400841897,1.0,1.0,0.0,2.2500278755032337,3.2116294622803365,0.0,-0.7917310198136193,0.0,0.0,0.0,-1.0
6673,2.7701265353005566,0.0,1.0,2.0,2.2422844879872463,2.965381320084775,0.0,-0.8299199068406294,1.0,0.0,0.0,-2.0
23,4.217844887624213,2.0,1.0,1.0,2.024863496703126,4.97520919846213,0.0,1.24382167427451,2.0,0.0,0.0,2.0
1981,2.7286551960598806,0.0,2.0,3.0,1.3534006390321736,2.497458247774352,0.0,-0.7443405533659523,0.0,0.0,0.0,-2.0
8009,2.8533167608489034,0.0,2.0,0.0,1.5274305620080308,2.1999482550926226,0.0,0.037445204653977104,0.0,1.0,0.0,-2.0
3474,3.418155228046189,0.0,1.0,1.0,2.8669692780452833,4.222534924257497,0.0,1.0786703792722765,1.0,0.0,0.0,2.0
8132,3.0121036394360403,0.0,1.0,0.0,2.090131802386628,3.9215510168477774,0.0,1.0458180798606107,0.0,0.0,0.0,2.0
8414,2.6690157795108163,0.0,1.0,0.0,2.3984961354546277,2.669659057108918,0.0,-0.19525329481637535,0.0,0.0,0.0,-1.0
1635,2.791890398841192,0.0,1.0,1.0,2.1309891788349486,2.0634282356235336,0.0,0.3897080104432947,0.0,0.0,0.0,-2.0
9641,3.1998963357293726,0.0,0.0,0.0,0.9188805456969238,2.3514187083376896,0.0,-0.08727564804164176,0.0,0.0,0.0,-2.0
3162,3.4871302601099643,2.0,2.0,1.0,1.002383180868629,3.61256710483238,0.0,0.4469085742170892,0.0,0.0,0.0,2.0
9114,2.8196772795197016,0.0,2.0,0.0,2.2005612496206757,3.750480369009368,0.0,-1.2815052122784334,0.0,0.0,0.0,-0.0
9412,3.684876368442796,0.0,1.0,0.0,2.0576285500931406,3.503642613290666,0.0,-0.1438214460798579,0.0,0.0,0.0,-0.0
4218,2.915803909336426,0.0,1.0,2.0,3.349610700058123,2.9735287542964377,0.0,-0.9601534281767912,1.0,0.0,1.0,-2.0
